feature,AUC_single,n_used
sct_long_dia_ge_8,0.6603096512592475,13324
sct_long_dia_ge_10,0.637257805439698,13324
sct_long_dia_ge_6,0.6276446034337495,13324
sct_long_dia_ge_12,0.6152073564968548,13324
sct_long_dia_ge_15,0.5781490850617916,13324
Spiculation,0.5660302674242754,13324
Upper_Lobe,0.5584674415575197,13324
age_ge_63,0.5510266484761547,13324
age_ge_58,0.5503006487411946,13324
age_ge_68,0.5496897914461432,13324
sct_long_dia_ge_20,0.5430168168631975,13324
sex,0.5375281149930191,13324
ground_glass,0.5351052268427405,13324
solid,0.5351052268427405,13324
part_solid,0.5328246524947428,13324
age_ge_73,0.5242396720438229,13324
age_ge_56,0.5202447450715179,13324
sct_long_dia_ge_30,0.5199742881774758,13324
